full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
T-Lab-CUHKSZ/claude-code,287,287,587,0,0,-1,https://github.com/T-Lab-CUHKSZ/claude-code
frankbria/ralph-claude-code,8645,8645,650,7,7,1,https://github.com/frankbria/ralph-claude-code
liuup/claude-code-analysis,1517,1517,1244,17,17,9,https://github.com/liuup/claude-code-analysis
hangsman/claude-code-source,754,754,1733,1,1,1,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7623,7623,550,32,32,7,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,913,913,1841,1,1,6,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,2072,2072,2133,10,10,5,https://github.com/chauncygu/collection-claude-code-source-code
ChrisWiles/claude-code-showcase,5782,5782,522,0,0,1,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,551,551,1280,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3779,3779,553,-1,-1,1,https://github.com/OneRedOak/claude-code-workflows
lintsinghua/claude-code-book,2651,2651,623,5,5,0,https://github.com/lintsinghua/claude-code-book
alex000kim/claude-code,212,212,320,1,1,0,https://github.com/alex000kim/claude-code
1rgs/claude-code-proxy,3430,3430,452,0,0,0,https://github.com/1rgs/claude-code-proxy
777genius/claude-code-source-code,895,895,1123,0,0,0,https://github.com/777genius/claude-code-source-code
qwibitai/nanoclaw,27229,27229,11864,26,26,19,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3516,3516,596,1,1,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3925,3925,374,0,0,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,271,271,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
xorespesp/claude-code,211,211,295,-1,-1,0,https://github.com/xorespesp/claude-code
lorryjovens-hub/claude-code-rust,1319,1319,549,2,2,2,https://github.com/lorryjovens-hub/claude-code-rust
anthropics/skills,116763,116763,13407,215,215,26,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7537,7537,377,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,192,192,284,1,1,0,https://github.com/zstmfhy/Claude-code
kodu-ai/claude-coder,5279,5279,199,-1,-1,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2343,2343,403,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
sickn33/antigravity-awesome-skills,32797,32797,5465,73,73,11,https://github.com/sickn33/antigravity-awesome-skills
FlorianBruniaux/claude-code-ultimate-guide,3326,3326,459,36,36,6,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
anthropics/claude-code-security-review,4244,4244,378,9,9,1,https://github.com/anthropics/claude-code-security-review
fuergaosi233/claude-code-proxy,2411,2411,337,1,1,1,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2428,2428,335,3,3,0,https://github.com/RichardAtCT/claude-code-telegram
Windy3f3f3f3f/how-claude-code-works,1822,1822,504,6,6,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
freestylefly/claude-code,120,120,282,0,0,1,https://github.com/freestylefly/claude-code
Alishahryar1/free-claude-code,1861,1861,342,4,4,1,https://github.com/Alishahryar1/free-claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,6499,6499,612,17,17,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Cranot/claude-code-guide,2602,2602,288,1,1,0,https://github.com/Cranot/claude-code-guide
chiragjoshi12/claude-code,186,186,223,0,0,1,https://github.com/chiragjoshi12/claude-code
AprilNEA/claude-code-source,370,370,612,0,0,0,https://github.com/AprilNEA/claude-code-source
ding113/claude-code-hub,2413,2413,271,3,3,0,https://github.com/ding113/claude-code-hub
mehmoodosman/claude-code,164,164,217,0,0,0,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,203,203,205,0,0,1,https://github.com/fazxes/Claude-code
anthropics/claude-code-base-action,790,790,600,1,1,1,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,932,932,354,1,1,0,https://github.com/repowise-dev/claude-code-prompts
router-for-me/CLIProxyAPI,25761,25761,4301,73,73,14,https://github.com/router-for-me/CLIProxyAPI
isboyjc/claude-code,146,146,200,0,0,1,https://github.com/isboyjc/claude-code
https-deeplearning-ai/sc-claude-code-files,485,485,667,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,150645,150645,13032,484,484,45,https://github.com/obra/superpowers
luyao618/Claude-Code-Source-Study,1144,1144,465,7,7,1,https://github.com/luyao618/Claude-Code-Source-Study
guanshan/ClaudeCode,55,55,214,0,0,0,https://github.com/guanshan/ClaudeCode
alejandrobalderas/claude-code-from-source,1379,1379,416,37,37,10,https://github.com/alejandrobalderas/claude-code-from-source
snarktank/ralph,16591,16591,1640,144,144,13,https://github.com/snarktank/ralph
edmund-io/edmunds-claude-code,1392,1392,280,0,0,0,https://github.com/edmund-io/edmunds-claude-code
JrCx7scC/claude-code-source,338,338,501,2,2,2,https://github.com/JrCx7scC/claude-code-source
Yeachan-Heo/oh-my-claudecode,28491,28491,2641,94,94,12,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3642,3642,258,0,0,1,https://github.com/Pimzino/claude-code-spec-workflow
bfly123/claude_code_bridge,2207,2207,209,2,2,0,https://github.com/bfly123/claude_code_bridge
eyaltoledano/claude-task-master,26524,26524,2476,4,4,-1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,33555,33555,3643,22,22,9,https://github.com/wshobson/agents
garrytan/gstack,71684,71684,10098,259,259,38,https://github.com/garrytan/gstack
rohitg00/awesome-claude-code-toolkit,1238,1238,363,9,9,5,https://github.com/rohitg00/awesome-claude-code-toolkit
lowcortisolprogrammer/claude-code,171,171,158,0,0,-1,https://github.com/lowcortisolprogrammer/claude-code
carlvellotti/claude-code-pm-course,1847,1847,287,0,0,2,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,474,474,381,0,0,1,https://github.com/AICoderTudou/claude-code-tudou
ghuntley/claude-code-source-code-deobfuscation,971,971,556,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
andrew-kramer-inno/claude-code-source-build,567,567,506,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3247,3247,625,6,6,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
alirezarezvani/claude-skills,10934,10934,1397,63,63,12,https://github.com/alirezarezvani/claude-skills
anthropics/claude-plugins-official,16868,16868,1961,25,25,6,https://github.com/anthropics/claude-plugins-official
luongnv89/claude-howto,26128,26128,3169,94,94,14,https://github.com/luongnv89/claude-howto
feiskyer/claude-code-settings,1434,1434,215,0,0,1,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1011,1011,236,0,0,1,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,206,206,454,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
paoloanzn/free-code,7783,7783,1728,7783,7783,1728,https://github.com/paoloanzn/free-code
siteboon/claudecodeui,9784,9784,1302,17,17,1,https://github.com/siteboon/claudecodeui
NanmiCoder/cc-haha,5926,5926,6270,5926,5926,6270,https://github.com/NanmiCoder/cc-haha
slopus/happy,17942,17942,1465,54,54,3,https://github.com/slopus/happy
centminmod/my-claude-code-setup,2192,2192,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
