full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
lorryjovens-hub/claude-code-rust,1034,1034,406,32,32,5,https://github.com/lorryjovens-hub/claude-code-rust
AprilNEA/claude-code-source,351,351,602,2,2,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,783,783,598,1,1,0,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2279,2279,260,0,0,0,https://github.com/ding113/claude-code-hub
chiragjoshi12/claude-code,162,162,202,3,3,1,https://github.com/chiragjoshi12/claude-code
Windy3f3f3f3f/how-claude-code-works,1444,1444,436,15,15,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
router-for-me/CLIProxyAPI,23015,23015,3852,63,63,12,https://github.com/router-for-me/CLIProxyAPI
fazxes/Claude-code,182,182,191,2,2,1,https://github.com/fazxes/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,5479,5479,469,15,15,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
obra/superpowers,135022,135022,11288,311,311,40,https://github.com/obra/superpowers
mehmoodosman/claude-code,135,135,202,3,3,1,https://github.com/mehmoodosman/claude-code
https-deeplearning-ai/sc-claude-code-files,473,473,644,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1382,1382,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,14385,14385,1464,9,9,2,https://github.com/snarktank/ralph
Pimzino/claude-code-spec-workflow,3613,3613,255,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
Kuberwastaken/claurst,8014,8014,7485,55,55,24,https://github.com/Kuberwastaken/claurst
Alishahryar1/free-claude-code,1537,1537,245,34,34,5,https://github.com/Alishahryar1/free-claude-code
wshobson/agents,32942,32942,3590,11,11,2,https://github.com/wshobson/agents
guanshan/ClaudeCode,51,51,205,0,0,0,https://github.com/guanshan/ClaudeCode
eyaltoledano/claude-task-master,26396,26396,2469,0,0,-1,https://github.com/eyaltoledano/claude-task-master
lowcortisolprogrammer/claude-code,168,168,159,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
ghuntley/claude-code-source-code-deobfuscation,963,963,551,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,15979,15979,1780,22,22,2,https://github.com/anthropics/claude-plugins-official
isboyjc/claude-code,124,124,178,0,0,0,https://github.com/isboyjc/claude-code
bfly123/claude_code_bridge,2074,2074,194,2,2,1,https://github.com/bfly123/claude_code_bridge
luyao618/Claude-Code-Source-Study,875,875,387,19,19,5,https://github.com/luyao618/Claude-Code-Source-Study
Yeachan-Heo/oh-my-claudecode,23749,23749,2151,184,184,29,https://github.com/Yeachan-Heo/oh-my-claudecode
andrew-kramer-inno/claude-code-source-build,532,532,480,5,5,2,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1744,1744,269,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1407,1407,210,0,0,-1,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9455,9455,1243,20,20,3,https://github.com/siteboon/claudecodeui
repowise-dev/claude-code-prompts,691,691,275,20,20,6,https://github.com/repowise-dev/claude-code-prompts
alirezarezvani/claude-skills,9337,9337,1152,37,37,3,https://github.com/alirezarezvani/claude-skills
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2944,2944,558,5,5,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
sugyan/claude-code-webui,996,996,231,1,1,1,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,195,195,446,0,0,1,https://github.com/Hyper66666/claude-code-sourcemap
centminmod/my-claude-code-setup,2152,2152,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,642,642,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
rohitg00/awesome-claude-code-toolkit,1058,1058,292,6,6,3,https://github.com/rohitg00/awesome-claude-code-toolkit
lst97/claude-code-sub-agents,1517,1517,241,-1,-1,0,https://github.com/lst97/claude-code-sub-agents
slopus/happy,17190,17190,1381,17190,17190,1381,https://github.com/slopus/happy
NanmiCoder/cc-haha,4871,4871,5444,59,59,57,https://github.com/NanmiCoder/cc-haha
AICoderTudou/claude-code-tudou,372,372,318,9,9,4,https://github.com/AICoderTudou/claude-code-tudou
luongnv89/claude-howto,18857,18857,2259,340,340,48,https://github.com/luongnv89/claude-howto
